yardline_100,norm_field_goal_percent,norm_diff_field_goal_percent,norm_diff_blocked_percent,field_goal_attempt,desc,field_goal_result,return_yards,play_duration
11.0,0.7999999999999999,0.6916930152342625,0.6052631578947368,1.0,"(15:00) 5-M.Prater 29 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",made,0.0,3.0
19.0,0.7285714285714284,0.48287663683497317,0.5,1.0,"(9:51) 2-T.Bass 37 yard field goal is GOOD, Center-69-R.Ferguson, Holder-8-S.Martin.",made,0.0,4.0
12.0,0.7999999999999999,0.6916930152342625,0.6052631578947368,1.0,"(13:35) 5-M.Prater 31 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin. ** Injury Update: ARI-74-I.Adams has returned to the game.",made,0.0,3.0
21.0,0.7285714285714284,0.48287663683497317,0.5,1.0,"(2:00) 2-T.Bass 39 yard field goal is GOOD, Center-69-R.Ferguson, Holder-8-S.Martin.",made,0.0,4.0
13.0,0.7682926829268292,0.5204504077726688,0.3821428571428571,1.0,"(13:40) 7-H.Butker 32 yard field goal is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",made,0.0,3.0
13.0,0.7682926829268292,0.5204504077726688,0.3821428571428571,1.0,"(5:47) 7-H.Butker 31 yard field goal is GOOD, Center-41-J.Winchester, Holder-14-M.Araiza.",made,0.0,3.0
35.0,0.525,0.5648059787295199,0.29374999999999996,1.0,"(1:55) 9-J.Tucker 53 yard field goal is No Good, Wide Left, Center-46-N.Moore, Holder-11-J.Stout.",missed,0.0,5.0
7.0,0.525,0.5648059787295199,0.29374999999999996,1.0,"(:05) 9-J.Tucker 25 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",made,0.0,2.0
14.0,0.525,0.5648059787295199,0.29374999999999996,1.0,"(4:58) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",made,0.0,4.0
39.0,0.7548387096774193,0.5600295651459779,0.6290322580645161,1.0,"(10:09) 19-B.Grupe 57 yard field goal is GOOD, Center-49-Z.Wood, Holder-43-M.Hayball.",made,0.0,5.0
26.0,0.7548387096774193,0.5600295651459779,0.6290322580645161,1.0,"(7:08) 19-B.Grupe 44 yard field goal is GOOD, Center-49-Z.Wood, Holder-43-M.Hayball.",made,0.0,5.0
34.0,0.7548387096774193,0.5600295651459779,0.6290322580645161,1.0,"(2:12) 19-B.Grupe 52 yard field goal is GOOD, Center-49-Z.Wood, Holder-43-M.Hayball.",made,0.0,4.0
25.0,0.7076923076923076,0.6512721541177994,0.3035714285714286,1.0,"(:03) 4-E.Pineiro 43 yard field goal is GOOD, Center-44-J.Jansen, Holder-10-J.Hekker.",made,0.0,3.0
21.0,0.7548387096774193,0.5600295651459779,0.6290322580645161,1.0,"(13:12) 19-B.Grupe 39 yard field goal is GOOD, Center-49-Z.Wood, Holder-43-M.Hayball.",made,0.0,4.0
33.0,0.3666666666666666,0.20910223244227266,0.6481481481481481,1.0,"(9:28) 7-D.Hopkins 51 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez.",made,0.0,5.0
39.0,0.7170212765957447,0.7823426883489385,0.5371482498284146,1.0,"(2:11) 17-B.Aubrey 57 yard field goal is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",made,0.0,5.0
22.0,0.7170212765957447,0.7823426883489385,0.5371482498284146,1.0,"(:55) 17-B.Aubrey 40 yard field goal is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",made,0.0,4.0
